transaction,item,date,profit
T01,F,2022-11-01,10
T01,G,2022-11-01,20
T01,H,2022-11-01,30
T01,I,2022-11-01,40
T01,J,2022-11-01,50
T01,K,2022-11-01,60
T01,M,2022-11-01,80
T02,F,2022-11-02,10
T02,H,2022-11-02,30
T02,I,2022-11-02,40
T02,J,2022-11-02,50
T02,K,2022-11-02,60
T02,L,2022-11-02,70
T02,M,2022-11-02,80
T03,F,2022-11-02,10
T03,H,2022-11-03,30
T03,I,2022-11-03,40
T03,N,2022-11-03,90
T04,F,2022-11-04,10
T04,G,2022-11-04,20
T04,J,2022-11-04,50
T04,L,2022-11-04,70
T04,M,2022-11-04,80
T04,N,2022-11-04,90
T04,R,2022-11-04,100
T05,F,2022-11-05,10
T05,G,2022-11-05,20
T05,J,2022-11-05,50
T05,N,2022-11-05,90
T05,R,2022-11-05,100
T06,F,2022-11-06,10
T06,G,2022-11-06,20
T06,M,2022-11-06,80
T06,N,2022-11-06,90
T06,R,2022-11-06,100
T07,F,2022-11-07,10
T07,K,2022-11-07,60
T07,N,2022-11-07,90
T08,F,2022-11-08,10
T08,G,2022-11-08,20
T08,I,2022-11-08,40
T08,R,2022-11-08,100
T09,G,2022-11-09,20
T09,H,2022-11-09,30
T09,N,2022-11-09,90
T10,G,2022-11-10,20
T10,J,2022-11-10,50
T10,R,2022-11-10,100